,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
17,fr-chateau-latour-martillac,Château Latour-Martillac,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2008,3.8,Pessac-Léognan,pessac-leognan,bordeaux
18,bouchard-pere-and-fils,Bouchard Père & Fils,Meursault 1er Cru 'Les Gouttes d'Or' Blanc,2011,4.2,Meursault 1er Cru 'Les Gouttes d'Or',meursault-les-gouttes-d-or,cote-de-beaune
19,le-chateau-de-chamirey,Château de Chamirey,Mercurey Blanc,2015,3.6,Mercurey,mercurey,cote-chalonnaise
20,chanson-pere-and-fils,Chanson,Nuits-Saint-Georges Premier Cru Les Porets Saint-Georges,2007,4.0,Nuits-Saint-Georges Premier Cru,nuits-saint-georges-premier-cru,cote-de-nuits
21,minuty,Minuty,Prestige Rosé,2019,4.0,Côtes de Provence,cotes-de-provence,provence
22,michel-stephane-ogier,Michel & Stéphane Ogier,Syrah d'Ogier,2017,3.9,Collines Rhodaniennes,igp-collines-rhodaniennes,rhone
23,chateau-d-esclans,Château d'Esclans,Déesse Astrée,2015,4.2,Côtes de Provence,cotes-de-provence,
24,domaine-gauby,Gauby,Calcinaires Côtes Catalanes,2018,3.5,Côtes Catalanes,cotes-catalanes,languedoc-roussillon
0,jean-baptiste-granier,Les Vignes Oubliées,Terrasses du Larzac,2015,3.8,Terrasses du Larzac,terasses-du-larzac,languedoc-roussillon
1,domaine-courbis,Domaine Courbis,Champelrose Cornas,2014,3.8,Cornas,cornas,cornas
2,domaine-courbis,Domaine Courbis,Champelrose Cornas,2017,3.8,Cornas,cornas,cornas
3,alain-voge,Alain Voge,Cornas 'Les Chailles',2014,3.9,Cornas,cornas,cornas
4,e-guigal,E. Guigal,Hermitage Blanc,2016,4.1,Hermitage,hermitage,rhone
5,coudoulis,Domaine Coudoulis,Hommage Lirac,2015,3.7,Lirac,lirac,rhone
6,henri-bourgeois,Henri Bourgeois,Sancerre La Chapelle Des Augustins,2015,3.8,Sancerre,sancerre,loire-valley
7,henri-bourgeois,Henri Bourgeois,Sancerre La Chapelle Des Augustins,2014,3.8,Sancerre,sancerre,loire-valley
8,domaine-de-baron-arques,Domaine de Baron'arques,Limoux,2010,3.8,Limoux,limoux,languedoc-roussillon
9,alphonse-mellot,Alphonse Mellot,Le Paradis Sancerre,2013,3.8,Sancerre,sancerre,loire-valley
10,fr-domaine-les-aurelles,Domaine Les Aurelles,Solen,2010,4.1,Pézenas,pezenas,languedoc-roussillon
11,le-clos-des-fees,Domaine du Clos des Fées,"Aimer,Rêver, Prier, Se Taire Pinot Noir - Jeues Vignes",2016,3.8,Languedoc-Roussillon,languedoc-roussillon,languedoc-roussillon
12,delas-freres,Delas,Clos Boucher Condrieu,2015,4.2,Condrieu,condrieu,condrieu
13,ermitage-du-pic-st-loup,Ermitage du Pic Saint Loup,Guilhem Gaucelm,2016,4.2,Pic-Saint-Loup,pic-saint-loup,languedoc-roussillon
14,chateau-citran,Château Citran,Haut-Médoc,2017,3.7,Haut-Médoc,haut-medoc,bordeaux
15,puygueraud,Château Puygueraud,Francs - Côtes de Bordeaux,2013,3.6,Francs - Côtes de Bordeaux,cotes-de-francs,bordeaux
16,chateau-peyrabon,Château Peyrabon,Château Pierbone Haut-Médoc,2010,3.8,Haut-Médoc,haut-medoc,bordeaux
17,roylland,Château Roylland,Saint-Émilion Grand Cru,2014,3.8,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
18,chateau-tour-de-pez,Château Tour de Pez,Saint-Estèphe,2011,3.7,Saint-Estèphe,saint-estephe,bordeaux
19,malmaison,Château Malmaison,Moulis-en-Médoc,2012,3.7,Moulis-en-Médoc,moulis-en-medoc,bordeaux
20,chateau-de-myrat,Château de Myrat,Sauternes (Grand Cru Classé),2014,4.2,Sauternes,sauternes,bordeaux
21,chateau-tronquoy-lalande,Château Tronquoy-Lalande,Saint-Estèphe,2009,3.9,Saint-Estèphe,saint-estephe,bordeaux
22,chateau-bellegrave,Château Bellegrave,Pauillac,2014,3.5,Pauillac,pauillac,bordeaux
23,faiveley,Faiveley,Nuits-Saint-Georges 1er Cru Les Poréts,2015,4.0,Nuits-Saint-Georges,nuits-saint-georges,cote-de-nuits
