,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
24,larcis-ducasse,Château Larcis Ducasse,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2009,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
0,cheval-blanc,Château Cheval Blanc,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2007,4.6,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
1,cheval-blanc,Château Cheval Blanc,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2004,4.6,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
2,cheval-blanc,Château Cheval Blanc,Saint-Émilion Grand Cru (Premier Grand Cru Classé),1982,4.7,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
3,la-fleur-de-bouard,Château La Fleur de Boüard,Lalande-de-Pomerol,2012,3.9,Lalande-de-Pomerol,lalande-de-pomerol,bordeaux
4,la-fleur-petrus,Château La Fleur-Pétrus,Pomerol,2014,4.5,Pomerol,pomerol,bordeaux
5,la-fleur-petrus,Château La Fleur-Pétrus,Pomerol,2009,4.5,Pomerol,pomerol,bordeaux
6,chateau-d-issan,Château d'Issan,Margaux (Grand Cru Classé),2016,4.2,Margaux,margaux,bordeaux
7,chateau-gazin,Château Gazin,Pomerol,2001,4.3,Pomerol,pomerol,bordeaux
8,chateau-giscours,Château Giscours,Margaux (Grand Cru Classé),2013,4.0,Margaux,margaux,bordeaux
9,grand-corbin-despagne,Château Grand Corbin-Despagne,Saint-Émilion Grand Cru (Grand Cru Classé),2000,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
10,chateau-grand-puy-ducasse,Château Grand-Puy Ducasse,Pauillac (Grand Cru Classé),2015,4.0,Pauillac,pauillac,bordeaux
11,chateau-sociando-mallet,Château Sociando-Mallet,Haut-Médoc,2011,3.9,Haut-Médoc,haut-medoc,bordeaux
12,vieux-chateau-certan,Vieux Château Certan,Pomerol,2009,4.6,Pomerol,pomerol,bordeaux
13,chateau-d-yquem,Château d'Yquem,Y,2016,4.5,Bordeaux Supérieur,bordeaux-superieur,bordeaux
14,petrus,Pétrus,Pomerol,2008,4.7,Pomerol,pomerol,bordeaux
15,chateau-sociando-mallet,Château Sociando-Mallet,Haut-Médoc,2013,3.7,Haut-Médoc,haut-medoc,bordeaux
16,champagne-ruinart,Ruinart,Millesimé Brut Champagne,2010,4.3,Champagne,champagne,champagne
17,chateau-smith-haut-lafitte,Château Smith Haut-Lafitte,Le Petit Haut Lafitte Pessac-Léognan,2014,3.8,Pessac-Léognan,pessac-leognan,bordeaux
18,chateau-de-beaucastel,Château de Beaucastel,Hommage à Jacques Perrin Châteauneuf-du-Pape,2013,4.4,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
19,domaine-saint-prefert,Domaine Saint Préfert,Châteauneuf-du-Pape,2017,4.0,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
20,domaine-anne-gros,Domaine Anne Gros,Richebourg Grand Cru,2011,4.7,Richebourg Grand Cru,richebourg,cote-de-nuits
21,chateau-d-yquem,Château d'Yquem,Sauternes,2000,4.7,Sauternes,sauternes,bordeaux
